Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood,Final_Exam_Category
S00040,0.941176471,0,0,2,0.611451943,0,0.086956522,0.714285714,0.220338983,2,0.956521739,3,0.25,1,High
S00041,0.676470588,0,2,4,0.261758691,0.666666667,0.608695652,0.102040816,0.796610169,2,0.826086957,0,0.25,0,High
S00042,0.147058824,0,2,4,0.114519427,0.333333333,0.333333333,0.387755102,0.661016949,0,0.550724638,0,0.75,0,Medium
S00043,0.970588235,1,2,1,0.621676892,0.666666667,0.68115942,0.06122449,0.220338983,0,0.565217391,2,0.5,0,Medium
S00044,0.382352941,0,1,4,0.807770961,1,0.550724638,0.020408163,0.796610169,2,0.333333333,2,0,0,Low
S00045,0.529411765,0,2,0,0.417177914,0.666666667,0.014492754,0.734693878,1,1,0.492753623,3,0.75,1,Low
S00046,0.676470588,2,0,0,0.695296524,0,0.710144928,0.836734694,0.457627119,0,0.956521739,0,0.75,1,High
S00047,0.470588235,1,0,2,0.27198364,0,0.579710145,0,0.898305085,2,0.811594203,1,1,0,High
S00048,0.941176471,0,1,4,0.229038855,0.666666667,0.188405797,0,0.593220339,2,0.68115942,0,1,0,Medium
S00049,0.088235294,1,0,0,0,0,0.884057971,0.387755102,0.169491525,1,0.333333333,3,0.25,0,Low
S00050,0.823529412,1,0,1,0.482617587,1,0.623188406,0.612244898,0.779661017,2,0.942028986,3,0.5,0,High
S00051,0.882352941,1,0,4,0.108384458,0.666666667,0.231884058,0.816326531,0.406779661,1,0.68115942,3,0,1,Medium
S00052,0.558823529,2,2,2,0.920245399,1,0.086956522,0.816326531,0.355932203,2,0.507246377,3,1,1,Medium
S00053,0.294117647,1,2,3,0.216768916,0.333333333,0.913043478,0.020408163,0.186440678,1,0.52173913,2,0,0,Medium
S00054,0.911764706,1,2,4,0.715746421,1,0.623188406,0.285714286,0.983050847,0,0.086956522,1,0.5,0,Low
S00055,0.117647059,1,0,1,0.701431493,0.666666667,0.927536232,0,1,0,0.028985507,3,0,0,Low
S00056,0.794117647,1,1,2,0.942740286,0.333333333,0.550724638,0.428571429,0.966101695,2,0.144927536,3,1,0,Low
S00057,0.705882353,1,2,4,0.779141104,0,0.898550725,0.408163265,0.033898305,2,0.405797101,3,0.75,0,Low
S00058,0.5,0,2,4,0.82208589,1,0.637681159,0.285714286,0.406779661,2,0.956521739,1,1,1,High
S00059,0.058823529,0,2,1,0.413087935,1,0.507246377,0.367346939,0,1,0.130434783,2,1,0,Low
S00060,0.852941176,0,0,1,0.280163599,0.333333333,0.057971014,0.06122449,0.13559322,2,0.666666667,3,0.75,0,Medium
S00061,0.794117647,1,0,0,0.773006135,0.333333333,0.463768116,0.428571429,0.423728814,2,0.985507246,1,1,0,High
S00062,0.323529412,1,1,3,0.625766871,0,0.028985507,0.387755102,0.372881356,1,0.405797101,1,0,0,Low
S00063,0.176470588,0,1,4,0.828220859,0,0.927536232,0.795918367,0.86440678,0,0.057971014,1,0.25,0,Low
S00064,0.147058824,1,2,2,0.695296524,0,0.405797101,0.183673469,0.220338983,0,0.637681159,3,0.75,0,Medium
S00065,0.058823529,0,2,1,0.550102249,0.333333333,0.144927536,0.265306122,0.508474576,0,0.333333333,2,0.25,0,Low
S00066,1,0,2,0,0.748466258,0,0.782608696,0.93877551,0.508474576,2,0.101449275,2,0.75,0,Low
S00067,0.029411765,0,1,4,0.707566462,0,0.811594203,0.551020408,0.694915254,0,0.637681159,1,0.5,0,Medium
S00068,0.058823529,0,2,2,0.251533742,0,0.391304348,0.387755102,0.576271186,1,0.31884058,3,0,0,Low
S00069,0.852941176,1,1,0,0.247443763,0.333333333,0.260869565,0.979591837,0.220338983,0,0.15942029,2,0.25,0,Low
S00070,0.5,0,2,3,0.916155419,0.333333333,0.391304348,0.387755102,0.457627119,2,0.985507246,0,0,0,High
S00071,0.147058824,0,2,4,0.402862986,1,0.826086957,0.142857143,0.661016949,2,0.347826087,2,0.75,0,Low
S00072,0.235294118,0,1,1,0.257668712,1,0.449275362,0.836734694,0.254237288,1,0.855072464,2,1,0,High
S00073,0.147058824,1,2,3,0.897750511,1,0.057971014,0.081632653,0.491525424,1,0.115942029,0,0.75,1,Low
S00074,0.794117647,0,1,4,0.865030675,0.333333333,0.014492754,0.387755102,0.016949153,2,0.275362319,3,0.75,1,Low
S00075,0.852941176,1,0,1,0.229038855,1,0.188405797,0.448979592,0.694915254,1,0.985507246,0,0.75,0,High
S00076,0.352941176,0,0,0,0.141104294,0.666666667,0.31884058,0.836734694,0.677966102,0,0.971014493,0,1,1,High
S00077,0.647058824,1,2,2,0.914110429,0,0.086956522,0.897959184,0.779661017,2,0.362318841,3,1,0,Low
S00078,0.823529412,0,1,2,0.388548057,0,0.15942029,0.183673469,0.118644068,2,0.565217391,3,0,0,Medium
S00079,0.470588235,1,2,0,0.944785276,1,0.231884058,0.979591837,0.271186441,1,0.028985507,1,0.5,1,Low
S00080,0.676470588,0,2,1,0.981595092,1,0.072463768,0.448979592,0.101694915,2,0.739130435,2,0.5,0,Medium
S00081,0.058823529,1,1,1,0.083844581,0,0.289855072,0.040816327,0.949152542,1,0.768115942,2,1,0,High
S00082,0.235294118,1,1,3,0.961145194,0,0.942028986,0.673469388,0.898305085,2,0.666666667,1,0.75,1,Medium
S00083,0.529411765,1,2,2,0.218813906,0,0.797101449,0.020408163,0.186440678,2,0.115942029,2,0.25,0,Low
S00084,0.764705882,0,2,3,0.333333333,1,0.304347826,0.183673469,0.593220339,1,0.971014493,1,0.75,0,High
S00085,0,0,2,2,0.300613497,0.666666667,0.623188406,0.795918367,0.372881356,2,0.507246377,1,0.5,0,Medium
S00086,0.823529412,0,1,2,0.417177914,0.666666667,0.782608696,0.714285714,0.881355932,2,0.304347826,3,0.5,0,Low
S00087,0.676470588,0,2,3,0.738241309,0.333333333,0.217391304,0.387755102,0.627118644,2,0.985507246,1,0.25,0,High
S00088,0.823529412,1,2,1,0.885480573,0,0.652173913,0.020408163,0.677966102,1,0.811594203,3,0.5,0,High
S00089,0.705882353,1,2,2,0.210633947,1,0.652173913,0.959183673,0.491525424,2,0.956521739,3,0.5,1,High
S00090,0.147058824,0,2,3,0.384458078,1,0.536231884,0.93877551,0.169491525,2,0.855072464,2,0.25,1,High
S00091,0.205882353,1,1,0,0.263803681,0,0.376811594,0.244897959,0.830508475,2,0.420289855,1,0.25,0,Low
S00092,0.205882353,1,2,1,0.560327198,1,0.086956522,0.326530612,0.711864407,0,0.449275362,2,0.75,0,Low
S00093,0.147058824,1,2,2,0.607361963,0,0.507246377,0.387755102,0.152542373,2,0.391304348,3,0.75,0,Low
S00094,0.176470588,0,0,1,0.591002045,0,0.782608696,0.06122449,0.762711864,1,0.463768116,0,0.5,1,Low
S00095,0.882352941,1,0,3,0.214723926,0,0.826086957,0.93877551,0.677966102,2,0.913043478,0,0.75,0,High
S00096,0.676470588,1,0,4,0.216768916,0,0.797101449,0.265306122,0.288135593,2,0.463768116,2,0.25,1,Low
S00097,0.205882353,1,2,3,0.805725971,0.666666667,0.246376812,0.326530612,0.474576271,0,0.739130435,0,0.5,1,Medium
S00098,0.911764706,0,2,4,0.335378323,0.666666667,0.47826087,0.020408163,0.593220339,2,0.289855072,3,0.5,0,Low
S00099,0.529411765,0,2,3,0.014314928,0.666666667,0.956521739,0.102040816,0.593220339,2,0.260869565,2,0.75,0,Low
S00100,0.911764706,0,2,1,0.45398773,0,0.811594203,0.510204082,0.06779661,0,0.710144928,1,1,0,Medium
S00101,0.147058824,1,1,4,0.314928425,1,0.014492754,0.387755102,0.237288136,2,0.536231884,1,0,0,Medium
S00102,0.735294118,1,0,3,0.210633947,0.333333333,0.086956522,0.571428571,0.983050847,0,0.550724638,3,0.75,1,Medium
S00103,0.294117647,0,2,4,0,0.666666667,0.826086957,0.102040816,0.745762712,0,0.797101449,0,1,0,High
S00104,0.382352941,0,2,4,0.556237219,1,0.753623188,0.87755102,0.711864407,1,0.695652174,3,0,0,Medium
S00105,0.617647059,0,2,3,0.513292434,0.666666667,0.666666667,0.224489796,0.813559322,2,0.101449275,2,0.25,0,Low
S00106,0.529411765,0,2,4,0.057259714,1,0.333333333,0.346938776,0.305084746,0,0.072463768,2,0.75,0,Low
S00107,0.205882353,1,2,0,0.245398773,1,0.84057971,0.408163265,0.949152542,2,0.855072464,1,0,0,High
S00108,0.911764706,1,2,1,0.065439673,0,0.637681159,0.224489796,0.881355932,2,0.855072464,1,0.75,0,High
S00109,0.352941176,1,0,0,0.415132924,0,0.391304348,0.163265306,0.305084746,2,0.942028986,3,0.75,0,High
S00110,0.529411765,1,2,1,0.63803681,1,0.144927536,0.142857143,0.457627119,2,0.072463768,1,0,1,Low
S00111,0.088235294,0,2,1,0.834355828,0.666666667,0.550724638,0.183673469,0.847457627,2,0.260869565,0,0.25,1,Low
S00112,0.470588235,1,0,2,0.63394683,0,0.057971014,0.040816327,0.813559322,0,0.84057971,1,1,0,High
S00113,0.676470588,0,1,0,0.826175869,0.333333333,0.188405797,0.306122449,0.423728814,1,0.942028986,2,1,1,High
S00114,0,0,1,2,0.523517382,1,0.391304348,0.653061224,0.813559322,0,0.492753623,3,0.5,0,Low
S00115,0.088235294,1,2,2,0.877300613,0,0.710144928,0.346938776,0.983050847,1,0.739130435,1,0,1,Medium
S00116,0.941176471,1,2,2,0.658486708,0,0.115942029,0.959183673,0.576271186,0,0.608695652,2,1,1,Medium
S00117,0.764705882,1,0,4,0.580777096,0,0.15942029,0.020408163,0.711864407,0,0.31884058,0,0.5,1,Low
S00118,1,0,2,4,0.137014315,0.333333333,0.434782609,0.183673469,0.559322034,0,0.652173913,0,0,0,Medium
S00119,0.852941176,0,0,0,0.689161554,0.666666667,0.811594203,0.183673469,0.915254237,1,0.463768116,0,0.5,0,Low
S00120,1,0,2,4,0.069529652,0.666666667,0.246376812,0.979591837,0.627118644,2,0.971014493,0,0.75,0,High
S00121,0.058823529,1,2,1,0.619631902,0.333333333,0.043478261,0.224489796,0.016949153,2,0.913043478,0,0.75,1,High
S00122,0.029411765,0,2,4,0.678936605,0.333333333,0.347826087,0.755102041,0.898305085,0,0.52173913,3,0.25,1,Medium
S00123,0.5,0,2,3,0.263803681,0.666666667,0.753623188,0.204081633,0.677966102,1,0.101449275,3,0,1,Low
S00124,0,1,0,1,0.865030675,1,0.420289855,0.265306122,0.237288136,1,0.376811594,0,1,0,Low
S00125,0.794117647,1,2,1,0.967280164,0,0.115942029,0.489795918,0.881355932,0,0.710144928,0,0.5,1,Medium
S00126,0.264705882,1,1,3,0.985685072,0.666666667,0.956521739,0.693877551,0.338983051,1,0.130434783,3,1,0,Low
S00127,0.588235294,0,0,0,0.449897751,0.666666667,0.260869565,0.183673469,0.271186441,2,0.768115942,3,0.5,0,High
S00128,0.058823529,0,1,3,0.6400818,0.666666667,0.985507246,0.204081633,0.033898305,1,0.31884058,1,0.5,1,Low
S00129,0,0,1,0,0.321063395,1,0.695652174,0.87755102,0.254237288,0,0.115942029,1,0,0,Low
S00130,0.558823529,1,2,0,0.885480573,0.333333333,0.47826087,0.102040816,0.830508475,2,0.811594203,3,0.25,0,High
S00131,0.088235294,0,0,1,0.81799591,0.666666667,0.101449275,0.387755102,0.93220339,2,0.927536232,2,0.25,0,High
S00132,0.735294118,1,2,1,0.869120654,0,0.115942029,0.795918367,0.322033898,2,0.956521739,3,0,0,High
S00133,0.029411765,1,1,2,0.674846626,1,0.855072464,0.469387755,0.118644068,1,0.884057971,2,0.5,0,High
S00134,0.058823529,0,1,2,0.194274029,0.333333333,0.347826087,0.714285714,0.559322034,2,0.115942029,3,0,0,Low
S00135,0.382352941,1,2,3,0.229038855,0.333333333,0.31884058,0.734693878,0.220338983,2,0.144927536,3,1,0,Low
S00136,0.941176471,0,1,4,0.570552147,1,0.550724638,0.428571429,0.847457627,2,0.579710145,1,0,0,Medium
S00137,0.588235294,0,2,2,0.914110429,0.666666667,0.739130435,0.775510204,0.728813559,2,0.739130435,3,0.5,0,Medium
S00138,0.970588235,1,2,4,0.278118609,0.333333333,0.753623188,0.346938776,0.322033898,0,0.115942029,2,0.5,0,Low
S00139,0.352941176,0,2,2,0.889570552,0.666666667,0.217391304,0.897959184,0.796610169,2,0.579710145,1,1,0,Medium
S00140,1,0,2,0,0.883435583,0,0.971014493,0.265306122,0.898305085,2,0.420289855,1,1,0,Low
S00141,0.264705882,0,2,2,0.327198364,1,0,0.673469388,0.508474576,2,0.246376812,0,1,0,Low
S00142,0.852941176,0,0,0,0.509202454,0.333333333,0.608695652,0.183673469,0.06779661,0,0.811594203,2,0.5,0,High
S00143,0.205882353,0,2,0,0.580777096,0,0.666666667,0.326530612,0.220338983,0,0.362318841,1,0.75,0,Low
S00144,0.205882353,0,2,3,0.257668712,0.333333333,0.84057971,0.408163265,0.627118644,2,0.898550725,0,0,0,High
S00145,0.5,0,0,2,0.916155419,0.666666667,0.333333333,0.346938776,0.288135593,2,0.333333333,0,0.25,0,Low
S00146,0.235294118,1,1,1,0.376278119,1,0.753623188,0.204081633,0.288135593,2,0.52173913,0,1,1,Medium
S00147,0.441176471,1,1,1,0.826175869,0.333333333,0.985507246,0.795918367,0.966101695,1,0.826086957,3,0.25,0,High
S00148,0.588235294,0,0,3,0.707566462,0.333333333,0.695652174,0.897959184,0.745762712,0,0.188405797,0,0.25,0,Low
S00149,0.294117647,0,2,1,0.944785276,0.333333333,0.028985507,0.183673469,0.661016949,2,0.942028986,2,0,0,High
S00150,0.323529412,1,2,2,0.838445808,0.333333333,1,0.081632653,0.627118644,2,0.826086957,3,0.5,1,High
S00151,0.323529412,1,2,2,0.768916155,0.666666667,0.550724638,0.408163265,0.779661017,0,0.115942029,0,1,0,Low
S00152,0.735294118,1,0,1,0.175869121,0,0.797101449,0.530612245,0.118644068,2,0.289855072,2,0.25,1,Low
S00153,0.882352941,0,2,1,0.141104294,0,0.15942029,0.653061224,0.06779661,2,0.623188406,0,1,0,Medium
S00154,0.676470588,0,2,1,0.27607362,1,0.985507246,0.367346939,0.847457627,0,0.797101449,0,0.5,0,High
S00155,0.911764706,1,1,1,0.8200409,0.333333333,0.507246377,0.795918367,0.355932203,0,0.724637681,1,0,0,Medium
S00156,0.382352941,1,2,0,0.155419223,0.333333333,0.898550725,0.040816327,0.813559322,0,0.47826087,0,0.75,1,Low
S00157,0.088235294,0,0,2,0.08793456,0.666666667,0.130434783,0.224489796,0.305084746,0,0.173913043,3,0.25,0,Low
S00158,0.676470588,2,1,4,0.850715746,1,0.463768116,0.408163265,0.06779661,0,0.898550725,3,0,0,High
S00159,0.323529412,1,0,4,0.848670757,0.666666667,0.362318841,0.897959184,0.203389831,2,0.971014493,1,0.25,0,High
S00160,0.294117647,0,2,1,0.208588957,0.333333333,0.826086957,0.081632653,0.779661017,1,0.144927536,2,1,0,Low
S00161,0.294117647,0,2,3,0.45194274,0,0.492753623,0.367346939,0.796610169,1,0.782608696,0,1,0,High
S00162,0.588235294,1,2,4,0.353783231,0.666666667,0.855072464,0.306122449,0.86440678,1,0.942028986,0,0.25,0,High
S00163,0.323529412,1,2,2,0.480572597,1,0.594202899,0,0.576271186,0,0.927536232,1,0.75,0,High
S00164,0.852941176,0,0,0,0.26993865,0,0.811594203,0.571428571,0.915254237,2,0.710144928,2,1,0,Medium
S00165,0.088235294,1,1,4,0.63190184,0.333333333,0.101449275,0.428571429,0.220338983,2,0.188405797,3,0,0,Low
S00166,0.205882353,2,2,0,0.353783231,0.333333333,0.637681159,0.775510204,0.830508475,2,0.028985507,0,0,0,Low
S00167,0.323529412,0,1,0,0.783231084,0.666666667,0.579710145,0.326530612,0.101694915,1,0.884057971,1,0.25,1,High
S00168,0.411764706,1,0,0,0.90797546,1,0.014492754,1,0.593220339,2,0.463768116,3,1,0,Low
S00169,0,0,2,4,0.809815951,0.666666667,0.333333333,0.93877551,0.254237288,2,0.797101449,1,0.75,1,High
S00170,0.411764706,0,2,4,0.848670757,1,0.376811594,0.244897959,0.457627119,1,0.898550725,2,0,0,High
S00171,0.029411765,0,2,1,0.646216769,1,0.695652174,0.183673469,0.322033898,2,0.434782609,1,0,0,Low
S00172,0.205882353,0,2,0,0.81390593,1,0.260869565,0.510204082,0.152542373,1,0.260869565,1,0.75,0,Low
S00173,0.088235294,1,2,0,1,0.666666667,0.594202899,0.673469388,0.610169492,0,0.043478261,1,0,1,Low
S00174,0.352941176,1,0,3,0.54396728,0.333333333,0.768115942,0.775510204,0.949152542,2,0.855072464,0,0,0,High
S00175,0.5,0,1,3,0.938650307,0.666666667,0.811594203,0.408163265,0.830508475,2,0.869565217,1,0.25,1,High
S00176,0.470588235,0,2,2,0.100204499,0.666666667,0.188405797,0.183673469,0.372881356,0,0.289855072,0,0.5,1,Low
S00177,0.411764706,1,2,3,0.134969325,0.333333333,1,0.918367347,0.627118644,2,0.869565217,1,0.25,0,High
S00178,0.264705882,0,0,0,0.239263804,1,0.231884058,0.163265306,0.86440678,2,0.608695652,1,0.75,0,Medium
S00179,0.823529412,0,2,0,0.660531697,0,0.956521739,0.469387755,0.254237288,0,0.637681159,1,0.25,0,Medium
S00180,0.382352941,1,2,3,0.421267894,1,0.652173913,0.469387755,0,2,0.594202899,0,0,0,Medium
S00181,0.529411765,1,2,2,0.45807771,1,0.362318841,0.612244898,0.355932203,2,0.724637681,2,0.75,0,Medium
S00182,0.705882353,0,2,2,0.918200409,0.666666667,0.695652174,0.632653061,0.050847458,1,0.623188406,0,1,0,Medium
S00183,0.970588235,0,2,4,0.795501022,0.666666667,0.057971014,0.673469388,1,1,0.043478261,3,0.75,0,Low
S00184,0.617647059,1,2,0,0.128834356,0.333333333,0.652173913,0.551020408,0.661016949,2,0.956521739,1,1,0,High
S00185,0.441176471,1,2,2,0.280163599,0,0.31884058,0.469387755,0.745762712,2,0.333333333,0,0.25,0,Low
S00186,0.941176471,1,0,4,0.290388548,0.666666667,0.68115942,0.12244898,0.694915254,2,0.695652174,3,0.25,0,Medium
S00187,0.382352941,0,0,4,0.355828221,1,0.608695652,0.265306122,0.93220339,1,0.768115942,1,1,0,High
S00188,0.852941176,1,0,2,0.108384458,0.666666667,0.391304348,0.93877551,0.881355932,1,0.173913043,3,0.25,0,Low
S00189,0.205882353,2,2,1,0.685071575,1,0.753623188,0.387755102,0.474576271,0,0.217391304,3,0.75,0,Low
S00190,0.147058824,0,2,2,0.893660532,0.666666667,0.565217391,0.653061224,0.203389831,2,0.246376812,0,1,0,Low
S00191,0.529411765,1,2,2,0.709611452,1,0.275362319,0.551020408,0.288135593,2,0.826086957,0,0,0,High
S00192,1,1,2,3,0.038854806,0.666666667,0.695652174,0.408163265,0.457627119,1,0.434782609,3,1,0,Low
S00193,0.147058824,2,2,4,0.204498978,0,0.115942029,0.775510204,0.169491525,2,0.884057971,2,0.75,0,High
S00194,0.882352941,1,1,2,0.599182004,1,0.405797101,0.653061224,0.406779661,0,0.855072464,2,0,0,High
S00195,0,0,2,3,0.417177914,0.333333333,0.086956522,0.142857143,0.13559322,1,0.231884058,0,0.25,1,Low
S00196,0.176470588,0,1,1,0.664621677,0.333333333,0.826086957,0.979591837,1,1,0.956521739,1,1,0,High
S00197,0.882352941,0,0,3,0.82208589,0.333333333,0.15942029,0.714285714,0.610169492,2,0.463768116,3,0,0,Low
S00198,0.970588235,1,2,4,0.122699387,0.333333333,0.782608696,0.346938776,0.033898305,2,0.347826087,1,1,0,Low
S00199,0.705882353,0,1,0,0.983640082,0,0.347826087,0.612244898,0.93220339,0,0.869565217,3,0.25,0,High
S00200,0.294117647,1,1,0,0.940695297,0.666666667,0.927536232,0.510204082,0.220338983,2,0.52173913,3,0.75,1,Medium
S00201,0,0,2,0,0.689161554,0.666666667,0.217391304,0.959183673,0.305084746,0,0.782608696,3,1,0,High
S00202,0.617647059,1,2,3,0.832310838,0.333333333,0.15942029,0.632653061,0.694915254,1,0.985507246,0,0.25,0,High
S00203,0.147058824,1,0,4,0.627811861,1,0.652173913,0.612244898,0.830508475,0,0,3,0.75,0,
S00204,0.029411765,1,0,1,0.036809816,0,0.115942029,0.591836735,0.457627119,2,0.043478261,1,0.5,0,Low
S00205,0.382352941,0,2,0,0.81390593,1,0.101449275,0.591836735,0.525423729,2,0.173913043,1,0.25,1,Low
S00206,0.411764706,1,1,1,0.865030675,0,0.927536232,0.346938776,0.728813559,0,0.507246377,1,0,0,Medium
S00207,0.705882353,1,0,3,0.979550102,0.333333333,0.15942029,0.897959184,0.983050847,2,0.84057971,0,0.5,0,High
S00208,0.323529412,1,1,4,0.926380368,0,0.130434783,0.408163265,0.898305085,2,0.753623188,3,1,0,High
S00209,0.764705882,1,1,3,0.842535787,0.333333333,0.898550725,0.632653061,0.796610169,2,0.391304348,0,0.75,1,Low
S00210,0.911764706,1,2,1,0.832310838,1,0.971014493,0.020408163,1,2,0.246376812,3,0.25,0,Low
S00211,0.235294118,1,1,1,0.550102249,0.666666667,0.84057971,0.551020408,0.508474576,2,0.869565217,3,0.25,0,High
S00212,0.735294118,0,2,2,0.085889571,0.666666667,0.144927536,0.795918367,0.813559322,2,1,3,0.5,0,High
S00213,0.058823529,0,1,0,0.010224949,0,0.043478261,0.918367347,0.966101695,2,0.463768116,3,0.5,1,Low
S00214,0.647058824,1,2,0,0.413087935,0.666666667,0.188405797,0.959183673,0.881355932,1,0.52173913,1,1,0,Medium
S00215,0.911764706,1,2,3,0.969325153,0.666666667,0.811594203,0.979591837,0.779661017,0,0.623188406,0,0.75,0,Medium
S00216,0.823529412,1,0,4,0.871165644,0,0,0.653061224,0.813559322,1,0.115942029,3,0,0,Low
S00217,0,1,1,4,0.91002045,0.666666667,1,0.836734694,0.779661017,2,0.463768116,2,0.5,0,Low
S00218,0.470588235,1,1,2,0.251533742,0.666666667,0.898550725,0.06122449,0.644067797,0,0.695652174,3,1,0,Medium
S00219,0.058823529,1,1,3,0.603271984,0,0.289855072,0.06122449,0.593220339,0,0.492753623,1,0.75,0,Low
S00220,0.264705882,0,1,2,0.233128834,0.333333333,0.565217391,0.224489796,0.677966102,2,0.217391304,1,0.5,0,Low
S00221,0.676470588,0,0,4,0.374233129,0,0.014492754,0.693877551,0.813559322,2,0.942028986,3,0,0,High
S00222,0.294117647,0,2,1,0.742331288,0.666666667,0.927536232,0.857142857,0.033898305,0,0.855072464,3,1,1,High
S00223,0.441176471,0,2,2,0.591002045,0.666666667,0.739130435,0.102040816,0.338983051,1,0.724637681,1,0.25,0,Medium
S00224,0.029411765,2,0,4,0.63803681,0.333333333,0.246376812,0.93877551,0.847457627,2,0.333333333,2,0,0,Low
